I, [2017-02-13T14:00:00.031876 #36591]  INFO -- Kitchen: -----> Starting Kitchen (v1.15.0)
E, [2017-02-13T14:00:00.032139 #36591] ERROR -- Kitchen: ------Exception-------
E, [2017-02-13T14:00:00.032160 #36591] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-02-13T14:00:00.032172 #36591] ERROR -- Kitchen: Message: Kitchen YAML file /Users/russells/workspaces/inspec/inspec-azure/.kitchen.yml does not exist.
E, [2017-02-13T14:00:00.032182 #36591] ERROR -- Kitchen: ----------------------
E, [2017-02-13T14:00:00.032193 #36591] ERROR -- Kitchen: ------Backtrace-------
E, [2017-02-13T14:00:00.032202 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-02-13T14:00:00.032212 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:152:in `data'
E, [2017-02-13T14:00:00.032221 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-02-13T14:00:00.032231 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-02-13T14:00:00.032241 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-02-13T14:00:00.032251 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-02-13T14:00:00.032261 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-02-13T14:00:00.032270 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-02-13T14:00:00.032280 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-02-13T14:00:00.032290 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-02-13T14:00:00.032299 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/test.rb:38:in `call'
E, [2017-02-13T14:00:00.032309 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-02-13T14:00:00.032319 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:234:in `test'
E, [2017-02-13T14:00:00.032328 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-02-13T14:00:00.032338 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-02-13T14:00:00.032348 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-02-13T14:00:00.032358 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-02-13T14:00:00.032367 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-02-13T14:00:00.032621 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-02-13T14:00:00.032634 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-02-13T14:00:00.032644 #36591] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `<top (required)>'
E, [2017-02-13T14:00:00.032653 #36591] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:21:in `load'
E, [2017-02-13T14:00:00.032662 #36591] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:21:in `<main>'
E, [2017-02-13T14:00:00.032680 #36591] ERROR -- Kitchen: ----End Backtrace-----
